ecoid	ecoregion	country1	country2	regionid	region	pixels	hits
10101	"Admiralty Islands lowland rain forests"	"Papua New Guinea"	"Papua New Guinea"	21	"New Guinea and Islands"	4693	6
10102	"Banda Sea Islands moist deciduous forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	12852	49
10103	"Biak-Numfoor rain forests"	"Indonesia"	"Indonesia"	21	"New Guinea and Islands"	6254	8
10104	"Buru rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	30483	83
10105	"Central Range montane rain forests"	"Indonesia"	"Papua New Guinea"	21	"New Guinea and Islands"	715583	123
10106	"Halmahera rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	91052	448
10107	"Huon Peninsula montane rain forests"	"Papua New Guinea"	"Papua New Guinea"	21	"New Guinea and Islands"	57713	11
10108	"Yapen rain forests"	"Indonesia"	"Indonesia"	21	"New Guinea and Islands"	4913	1
10110	"Louisiade Archipelago rain forests"	"Papua New Guinea"	"Papua New Guinea"	21	"New Guinea and Islands"	2508	3
10111	"New Britain-New Ireland lowland rain forests"	"Papua New Guinea"	"Papua New Guinea"	21	"New Guinea and Islands"	119879	758
10112	"New Britain-New Ireland montane rain forests"	"Papua New Guinea"	"Papua New Guinea"	21	"New Guinea and Islands"	49848	0
10115	"Northern New Guinea lowland rain and freshwater swamp forests"	"Indonesia"	"Papua New Guinea"	21	"New Guinea and Islands"	502850	496
10116	"Northern New Guinea montane rain forests"	"Indonesia"	"Papua New Guinea"	21	"New Guinea and Islands"	94456	12
10117	"Queensland tropical rain forests"	"Australia"	"Australia"	2	"AustraliaNZ"	98386	273
10118	"Seram rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	62471	191
10119	"Solomon Islands rain forests"	"Papua New Guinea"	"Solomon Islands"	21	"New Guinea and Islands"	111992	51
10120	"Southeastern Papuan rain forests"	"Papua New Guinea"	"Papua New Guinea"	21	"New Guinea and Islands"	312635	223
10121	"Southern New Guinea freshwater swamp forests"	"Papua New Guinea"	"Indonesia"	21	"New Guinea and Islands"	316383	2725
10122	"Southern New Guinea lowland rain forests"	"Indonesia"	"Papua New Guinea"	21	"New Guinea and Islands"	488425	3490
10123	"Sulawesi lowland rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	296477	2853
10124	"Sulawesi montane rain forests"	"Indonesia"	"Indonesia"	27	"Other Indonesia"	302715	336
10125	"Trobriand Islands rain forests"	"Papua New Guinea"	"Papua New Guinea"	21	"New Guinea and Islands"	11253	4
10126	"Vanuatu rain forests"	"Vanuatu"	"Vanuatu"	21	"New Guinea and Islands"	948	1
10127	"Vogelkop montane rain forests"	"Indonesia"	"Indonesia"	21	"New Guinea and Islands"	92942	16
10128	"Vogelkop-Aru lowland rain forests"	"Indonesia"	"Indonesia"	21	"New Guinea and Islands"	290010	682
30101	"Albertine Rift montane forests"	"Democratic Republic of the Congo"	"Democratic Republic of the Congo"	12	"Central and East Africa"	223579	194
30102	"Atlantic Equatorial coastal forests"	"Gabon"	"Cameroon"	12	"Central and East Africa"	730593	588
30103	"Cameroonian Highlands forests"	"Cameroon"	"Cameroon"	12	"Central and East Africa"	72708	17
30104	"Central Congolian lowland forests"	"Democratic Republic of the Congo"	"Democratic Republic of the Congo"	12	"Central and East Africa"	1886209	87
30105	"Comoros forests"	"Comoros"	"Comoros"	12	"Central and East Africa"	3772	5
30106	"Cross-Niger transition forests"	"Nigeria"	"Nigeria"	13	"Coastal West Africa"	6947	54
30107	"Cross-Sanaga-Bioko coastal forests"	"Cameroon"	"Nigeria"	12	"Central and East Africa"	182644	337
30108	"East African montane forests"	"Kenya"	"Kenya"	12	"Central and East Africa"	68775	143
30109	"Eastern Arc forests"	"Tanzania"	"Tanzania"	12	"Central and East Africa"	27811	507
30110	"Eastern Congolian swamp forests"	"Democratic Republic of the Congo"	"Democratic Republic of the Congo"	12	"Central and East Africa"	412280	79
30111	"Eastern Guinean forests"	"Ghana"	"Ghana"	13	"Coastal West Africa"	214618	1402
30114	"Guinean montane forests"	"Guinea"	"Guinea"	13	"Coastal West Africa"	8648	3
30117	"Madagascar lowland forests"	"Madagascar"	"Madagascar"	12	"Central and East Africa"	372383	207
30118	"Madagascar subhumid forests"	"Madagascar"	"Madagascar"	12	"Central and East Africa"	183033	127
30121	"Mount Cameroon and Bioko montane forests"	"Cameroon"	"Equatorial Guinea"	13	"Coastal West Africa"	2022	2
30122	"Niger Delta swamp forests"	"Nigeria"	"Nigeria"	13	"Coastal West Africa"	33663	48
30123	"Nigerian lowland forests"	"Nigeria"	"Nigeria"	13	"Coastal West Africa"	78838	793
30124	"Northeastern Congolian lowland forests"	"Democratic Republic of the Congo"	"Democratic Republic of the Congo"	12	"Central and East Africa"	2331316	305
30125	"Northern Zanzibar-Inhambane coastal forest mosaic"	"Somalia"	"Kenya"	12	"Central and East Africa"	1300	99
30126	"Northwestern Congolian lowland forests"	"Cameroon"	"Republic of Congo"	12	"Central and East Africa"	1831808	311
30127	"Sao Tome, Principe and Annobon moist lowland forests"	"Sao Tome and Principe"	"Sao Tome and Principe"	13	"Coastal West Africa"	1980	0
30129	"Western Congolian swamp forests"	"Democratic Republic of the Congo"	"Republic of Congo"	12	"Central and East Africa"	563848	83
